,id,quality,type,value,percentage,order
141,FQ22,Usefulness,Strongly agree,2,40,5
142,FQ22,New Information,No,0,0,1
143,FQ22,New Information,Yes,5,100,2
144,FQ2,Specificity,Strongly disagree,0,0,1
145,FQ2,Specificity,Disagree,1,33.33,2
146,FQ2,Specificity,Neutral,1,33.33,3
147,FQ2,Specificity,Agree,1,33.34,4
148,FQ2,Specificity,Strongly agree,0,0,5
149,FQ2,Usefulness,Strongly disagree,0,0,1
150,FQ2,Usefulness,Disagree,0,0,2
151,FQ2,Usefulness,Neutral,0,0,3
152,FQ2,Usefulness,Agree,3,100,4
153,FQ2,Usefulness,Strongly agree,0,0,5
154,FQ2,New Information,No,1,33.33,1
155,FQ2,New Information,Yes,2,66.67,2
156,FQ12,Specificity,Strongly disagree,0,0,1
157,FQ12,Specificity,Disagree,0,0,2
158,FQ12,Specificity,Neutral,1,33.33,3
159,FQ12,Specificity,Agree,2,66.67,4
160,FQ12,Specificity,Strongly agree,0,0,5
170,FQ12,Usefulness,Strongly disagree,0,0,1
171,FQ12,Usefulness,Disagree,0,0,2
172,FQ12,Usefulness,Neutral,1,33.33,3
173,FQ12,Usefulness,Agree,2,66.67,4
174,FQ12,Usefulness,Strongly agree,0,0,5
175,FQ12,New Information,No,0,0,1
176,FQ12,New Information,Yes,3,100,2
177,FQ10,Specificity,Strongly disagree,0,0,1
178,FQ10,Specificity,Disagree,1,0,2
179,FQ10,Specificity,Neutral,1,33.33,3
180,FQ10,Specificity,Agree,0,33.33,4
181,FQ10,Specificity,Strongly agree,1,33.34,5
182,FQ10,Usefulness,Strongly disagree,0,0,1
183,FQ10,Usefulness,Disagree,1,33.33,2
184,FQ10,Usefulness,Neutral,1,33.33,3
185,FQ10,Usefulness,Agree,0,0,4
186,FQ10,Usefulness,Strongly agree,1,33.34,5
187,FQ10,New Information,No,1,33.33,1
188,FQ10,New Information,Yes,2,66.67,2
